,centre_val
0,78.5
1,69.33333333333333
2,69.0
3,70.04
4,73.67164179104478
5,70.61870503597122
6,69.48717948717949
7,72.45945945945945
8,71.4962962962963
9,73.44202898550725
10,67.55
11,75.6842105263158
12,73.69642857142857
13,72.29545454545455
14,67.43333333333334
15,69.87755102040816
16,70.93181818181819
17,69.9047619047619
18,73.27272727272727
19,71.35555555555555
20,69.86046511627907
21,69.0
22,68.58536585365853
23,69.90243902439025
24,69.35
25,69.16666666666667
26,68.3030303030303
27,66.0
28,66.25
29,0.0
30,66.5
31,67.8108108108108
32,69.79411764705883
33,70.20588235294117
34,71.48684210526316
35,74.48684210526316
36,73.2258064516129
37,71.91111111111111
38,76.8203125
39,74.45121951219512
