,centre_val
0,585.5
1,47.0
2,187.5
3,274.0
4,228.5
5,243.5
6,310.5
7,299.5
8,263.0
9,274.0
10,318.5
11,312.0
12,276.5
13,287.5
14,389.5
15,390.0
16,339.0
17,334.0
18,371.5
19,364.5
20,317.0
21,311.0
22,340.5
23,336.0
24,290.5
25,286.5
26,318.0
27,314.0
28,272.0
29,265.5
30,309.5
31,298.5
32,255.0
33,271.0
34,301.5
35,284.5
36,258.5
37,272.5
38,285.0
39,269.0
40,263.0
41,267.5
42,261.0
43,253.0
44,250.5
45,255.0
46,246.0
47,250.5
48,261.5
49,260.5
50,249.0
51,246.0
52,261.5
53,256.5
54,256.5
55,262.5
56,254.0
57,253.0
58,258.0
59,250.5
60,237.5
61,247.5
62,248.0
63,229.5
64,218.5
65,234.5
66,226.5
67,212.5
68,217.0
69,217.0
70,205.0
71,207.0
72,212.0
73,208.5
74,202.0
75,206.5
76,210.0
77,219.5
78,255.5
79,290.5
80,331.0
81,356.0
82,374.0
83,396.0
84,436.0
85,107.5
86,238.5
87,205.5
88,88.5
89,135.0
90,182.5
91,436.0
92,491.0
93,461.0
94,422.5
95,447.5
96,540.0
97,544.5
98,489.5
99,488.0
100,481.5
101,455.0
102,424.5
103,360.0
104,168.5
105,64.5
106,72.0
107,109.5
108,89.0
109,161.0
110,366.5
111,381.5
112,430.0
113,452.0
114,459.0
115,496.5
116,520.5
117,550.5
118,477.5
119,450.0
120,464.5
121,455.0
122,430.5
123,428.5
124,416.5
125,426.0
126,454.5
127,496.0
128,467.5
129,425.5
130,430.5
131,401.0
132,343.5
133,293.0
134,217.0
135,150.5
136,106.0
137,69.0
138,57.0
139,49.5
140,41.0
141,48.5
142,41.0
143,37.5
144,50.0
145,98.5
146,253.5
147,375.0
148,498.0
149,584.5
150,565.5
151,507.5
152,506.0
153,437.0
154,452.0
155,462.0
156,466.0
157,478.5
158,467.5
159,447.0
160,436.0
161,424.0
162,428.0
163,410.0
164,381.5
165,348.0
166,317.5
167,281.5
168,242.5
169,206.0
170,170.0
171,120.0
172,60.0
173,42.0
174,35.0
175,49.5
176,120.5
177,184.0
178,334.0
179,389.5
180,390.5
181,437.5
182,442.5
183,444.0
184,459.5
185,473.0
186,460.0
187,519.0
188,512.5
189,433.0
190,434.0
191,451.5
192,433.0
193,410.5
194,409.0
195,400.5
196,387.5
197,379.0
198,367.0
199,356.5
200,354.0
201,347.0
202,344.0
203,333.0
204,330.5
205,328.0
206,328.0
207,327.5
208,327.5
209,325.5
210,330.0
211,328.0
212,317.5
213,308.5
214,310.0
215,312.0
216,312.0
217,310.5
218,308.5
219,309.5
220,307.5
221,309.0
222,311.0
223,323.5
224,324.5
225,319.0
226,319.5
227,272.5
228,254.5
229,281.5
230,279.0
231,253.0
232,248.0
233,237.0
234,185.0
235,146.5
236,160.5
237,156.5
238,104.0
239,65.0
240,105.0
241,90.0
242,55.0
243,56.5
244,60.0
245,37.5
246,52.0
247,109.5
248,71.0
249,52.0
250,119.0
251,107.0
252,73.0
253,83.0
254,102.5
255,112.0
256,127.5
257,103.0
258,117.5
259,143.0
260,209.0
261,268.5
262,323.5
263,377.0
264,416.5
265,449.0
266,490.5
267,523.5
268,531.5
269,541.0
270,562.0
271,566.5
272,562.5
273,565.0
274,563.0
275,531.0
276,521.0
277,518.0
278,513.0
279,516.0
280,517.0
281,523.0
282,523.0
283,528.0
284,535.0
285,538.0
286,535.0
287,533.0
288,528.0
289,523.5
290,505.5
291,447.5
292,390.5
293,346.0
294,302.5
295,267.0
296,241.5
297,216.5
298,197.0
299,174.0
300,140.0
301,129.0
302,122.0
303,113.0
304,115.0
305,117.0
306,117.5
307,126.5
308,127.0
309,143.0
310,146.0
311,145.0
312,136.5
313,129.5
314,119.5
315,110.5
316,108.5
317,111.0
318,115.5
319,124.5
320,143.5
321,155.0
322,163.5
323,171.0
324,162.0
325,132.5
326,111.0
327,98.0
328,82.5
329,93.5
330,113.0
331,147.0
332,192.0
333,224.0
334,271.5
335,320.5
336,362.0
337,398.0
338,436.0
339,460.0
340,463.0
341,490.0
342,530.0
343,538.5
344,533.5
345,544.0
346,547.5
347,549.5
348,551.0
349,558.0
350,562.5
351,566.5
352,575.5
353,576.5
354,533.0
355,465.5
356,402.0
357,356.0
358,319.0
359,274.0
360,231.5
361,208.5
362,179.5
363,138.0
364,118.0
365,124.0
366,113.0
367,105.5
368,106.5
369,101.5
370,105.5
371,105.5
372,111.0
373,121.0
374,147.0
375,159.0
376,167.0
377,170.5
378,168.5
379,142.0
