,,0
80,0,0.51953125
80,1,0.2109375
80,2,0.3515625
80,3,0.3515625
80,4,0.30078125
80,5,0.3671875
80,6,0.33203125
80,7,0.3671875
80,8,0.40625
80,9,0.421875
80,10,0.38671875
80,11,0.38671875
80,12,0.40625
80,13,0.3515625
80,14,0.28515625
80,15,0.31640625
80,16,0.40625
80,17,0.38671875
80,18,0.38671875
80,19,0.421875
80,20,0.3671875
70,0,0.40625
70,1,0.8984375
70,2,0.890625
70,3,0.8828125
70,4,0.90234375
70,5,0.8984375
70,6,0.890625
70,7,0.90234375
70,8,0.90234375
70,9,0.8984375
70,10,0.8984375
70,11,0.90234375
70,12,0.8984375
70,13,0.8984375
70,14,0.8828125
70,15,0.8828125
70,16,0.8828125
70,17,0.90234375
70,18,0.890625
70,19,0.890625
60,0,0.8828125
60,1,0.98046875
60,2,0.98046875
60,3,0.9765625
60,4,0.98046875
60,5,0.98046875
60,6,0.98046875
60,7,0.9765625
60,8,0.98046875
60,9,0.98046875
60,10,0.98046875
60,11,0.98046875
60,12,0.98046875
60,13,0.9765625
60,14,0.98046875
60,15,0.9765625
60,16,0.98046875
60,17,0.98046875
60,18,0.9765625
60,19,0.9765625
50,0,0.9765625
50,1,0.98828125
50,2,0.98828125
50,3,0.98828125
50,4,0.98828125
50,5,0.98828125
50,6,0.98828125
50,7,0.98828125
50,8,0.98828125
50,9,0.98828125
50,10,0.98828125
50,11,0.98828125
50,12,0.98828125
50,13,0.98828125
50,14,0.98828125
50,15,0.98828125
50,16,0.98828125
50,17,0.98828125
50,18,0.98828125
50,19,0.98828125
40,0,0.98828125
40,1,0.98046875
40,2,0.9765625
40,3,0.98046875
40,4,0.98046875
40,5,0.98046875
40,6,0.98046875
40,7,0.98046875
40,8,0.98046875
40,9,0.98046875
40,10,0.98046875
40,11,0.98046875
40,12,0.9765625
40,13,0.98046875
40,14,0.9765625
40,15,0.98046875
40,16,0.97265625
40,17,0.97265625
40,18,0.9765625
40,19,0.96875
30,0,0.96875
30,1,0.96484375
30,2,0.96484375
30,3,0.96875
30,4,0.96875
30,5,0.96875
30,6,0.96484375
30,7,0.96875
30,8,0.96875
30,9,0.96875
30,10,0.96484375
30,11,0.96875
30,12,0.96875
30,13,0.96875
30,14,0.96875
30,15,0.96484375
30,16,0.96484375
30,17,0.96875
30,18,0.96875
30,19,0.96875
20,0,0.96875
20,1,0.984375
20,2,0.984375
20,3,0.984375
20,4,0.98046875
20,5,0.984375
20,6,0.984375
20,7,0.984375
20,8,0.984375
20,9,0.984375
20,10,0.984375
20,11,0.984375
20,12,0.984375
20,13,0.984375
20,14,0.984375
20,15,0.984375
20,16,0.984375
20,17,0.984375
20,18,0.984375
20,19,0.984375
10,0,0.984375
10,1,0.984375
10,2,0.984375
10,3,0.984375
10,4,0.984375
10,5,0.984375
10,6,0.984375
10,7,0.984375
10,8,0.984375
10,9,0.984375
10,10,0.984375
10,11,0.98828125
10,12,0.984375
10,13,0.984375
10,14,0.98828125
10,15,0.984375
10,16,0.984375
10,17,0.984375
10,18,0.984375
10,19,0.984375
