,,0
80,1,0.51953125
80,2,0.44140625
80,3,0.51953125
80,4,0.51953125
80,5,0.5
80,6,0.4609375
80,7,0.51953125
80,8,0.5390625
80,9,0.421875
80,10,0.51953125
80,11,0.5390625
80,12,0.5
80,13,0.48046875
80,14,0.5
80,15,0.51953125
80,16,0.48046875
80,17,0.48046875
80,18,0.44140625
80,19,0.5390625
70,0,0.51953125
70,1,0.9453125
70,2,0.94921875
70,3,0.9453125
70,4,0.9453125
70,5,0.9453125
70,6,0.94921875
70,7,0.953125
70,8,0.953125
70,9,0.95703125
70,10,0.9453125
70,11,0.9453125
70,12,0.94921875
70,13,0.94921875
70,14,0.953125
70,15,0.953125
70,16,0.94921875
70,17,0.94921875
70,18,0.9453125
70,19,0.94921875
60,0,0.94921875
60,1,0.98828125
60,2,0.98828125
60,3,0.98828125
60,4,0.98828125
60,5,0.98828125
60,6,0.98828125
60,7,0.98828125
60,8,0.98828125
60,9,0.98828125
60,10,0.984375
60,11,0.98828125
60,12,0.98828125
60,13,0.98828125
60,14,0.98828125
60,15,0.98828125
60,16,0.984375
60,17,0.98828125
60,18,0.98828125
60,19,0.984375
50,0,0.98828125
50,1,0.98828125
50,2,0.98828125
50,3,0.98828125
50,4,0.98828125
50,5,0.98828125
50,6,0.98828125
50,7,0.98828125
50,8,0.98828125
50,9,0.98828125
50,10,0.98828125
50,11,0.98828125
50,12,0.98828125
50,13,0.98828125
50,14,0.98828125
50,15,0.98828125
50,16,0.98828125
50,17,0.98828125
50,18,0.98828125
50,19,0.98828125
40,0,0.98828125
40,1,0.98828125
40,2,0.98828125
40,3,0.98828125
40,4,0.98828125
40,5,0.98828125
40,6,0.98828125
40,7,0.984375
40,8,0.98828125
40,9,0.984375
40,10,0.98828125
40,11,0.98828125
40,12,0.98828125
40,13,0.98828125
40,14,0.98828125
40,15,0.98828125
40,16,0.98828125
40,17,0.98828125
40,18,0.98828125
40,19,0.98828125
30,0,0.984375
30,1,0.98046875
30,2,0.984375
30,3,0.984375
30,4,0.984375
30,5,0.984375
30,6,0.98046875
30,7,0.984375
30,8,0.984375
30,9,0.984375
30,10,0.984375
30,11,0.984375
30,12,0.984375
30,13,0.984375
30,14,0.984375
30,15,0.984375
30,16,0.984375
30,17,0.984375
30,18,0.984375
30,19,0.984375
20,0,0.984375
20,1,0.984375
20,2,0.984375
20,3,0.984375
20,4,0.984375
20,5,0.984375
20,6,0.984375
20,7,0.984375
20,8,0.984375
20,9,0.984375
20,10,0.984375
20,11,0.98828125
20,12,0.984375
20,13,0.984375
20,14,0.984375
20,15,0.984375
20,16,0.984375
20,17,0.984375
20,18,0.984375
20,19,0.984375
10,0,0.984375
10,1,0.984375
10,2,0.984375
10,3,0.98828125
10,4,0.984375
10,5,0.98828125
10,6,0.984375
10,7,0.984375
10,8,0.98828125
10,9,0.98828125
10,10,0.98828125
10,11,0.98828125
10,12,0.98828125
10,13,0.984375
10,14,0.984375
10,15,0.98828125
10,16,0.98828125
10,17,0.98828125
10,18,0.98828125
10,19,0.98828125

